id,title,snippet,is_clickbait,safety_flags,label_reason,human_review_expected,source_type
001,??? ????? ?? ??,????? ?? ??? ?? ??? ??? ? ????.,0,none,??? ?? ?? ??,false,synthetic
002,KISA 118 ?? ??,"??? ???, ???? ?? ?? ?? ??? ?????.",0,none,?? ?? ?? ??,false,synthetic
003,????? ????? ????,????? ?? ?? ? ??? ?? ??? ?????.,0,none,??? ?? ??,false,synthetic
004,?????? ???? ??,?? ??? ???? ? ?? ??? ??? ? ????.,0,none,?? ?? ??,false,synthetic
005,?????? 1366 ?? ??,?? ??? ?? ??? ?? ??? ?????.,0,none,??? ?? ??,false,synthetic
006,?? ?? ?? ?? ? ???? ?? ??,???? ??? ??? ?? ?? ??? ?????.,0,none,?? ?? ??,false,synthetic
007,??? ?? ?? ?? ??,"?? ??? ????, ??? ???? ??? ?????.",0,none,???? ??,false,synthetic
008,??? ??? ?? ?? ?? ??,"?? ??? ??, ???? ????? ???? ?????.",0,none,?? ?? ??,false,synthetic
009,???? ?? ?? ? ??? ??,"URL? ???, ?? ?? ? ??? ??? ?????.",0,none,?? ?? ??,false,synthetic
010,?? ??? ?? ? ?? ? ??,???? ??? ???? ?? ? ?? ??? ?????.,0,none,?? ?? ??,false,synthetic
011,???? ??? ?? ? ????,??? ?? ??? ???? ??? ??? ?????.,0,none,??? ?? ??,false,synthetic
012,??? ?? ?? ?? ??,?? ??? ??? ? ??? ?? ?????.,0,none,??? ?? ??,false,synthetic
013,?? ?? ?? ? ??? ?? ??,?? ??? ???? ? ??? ??? ??? ?????.,0,none,??? ?? ??,false,synthetic
014,?? ?? ?? ??? URL ?? ??,"??? ??, ?? ??? ?? ???? ??? ?????.",0,none,???? ??,false,synthetic
015,???? ?? ?? ? ?? ??,?? ?? ??? ?? ?? ?? ??? ?????.,0,none,?? ?? ??,false,synthetic
016,???? ???? ?? ?? ??,???? ?? ???? ?? ??? ???? ?????.,0,none,?? ?? ??,false,synthetic
017,????? ?? ? ??? ??,?? ?? ?? ??? ?? ??? ?????.,0,none,??? ?? ??,false,synthetic
018,?? ??? ????? ???? ??,?? ??? ???? ?? ??? ???? ?????.,0,none,?? ?? ??,false,synthetic
019,?? ??? ?? ?? ???? ??,??? ?? ???? ?? ??? ???? ?? ?????.,0,none,?? ?? ??,false,synthetic
020,2?? ?? ?? ??,?? ??? ?? 2?? ??? ???? ?????.,0,none,??? ?? ??,false,synthetic
021,????? ??? ?? ????,?? ??? ?? ????? ??? ???.,0,institution_impersonation|personal_information_request,??? ?????? ?? ??????? ?? ??,true,synthetic
022,??? ???? ?? ??,??? ??? ?? ??? ????? ??? ???.,0,institution_impersonation|financial_lure,??? ??? ???? ?? ????? ??,true,synthetic
023,??? ?? ?? ???,?? ??? ?? ??????? ??? ???.,0,institution_impersonation|personal_information_request,??? ???? ?? ??????? ?? ??,true,synthetic
024,KISA ?? ?? ??,?? ??? ?? OTP ????? ??? ???.,0,institution_impersonation|personal_information_request,?????? ??? ???? ?? ??,true,synthetic
